bag_id,trial_id,bag_color,bag_set,bag_content,bag_type,bag_placement
44547_01_21_A_1,44547-01-21,Green,A,Baseline,Standard,Top depth
44547_01_21_A_2,44547-01-21,Green,A,Baseline,Standard,Top depth
44547_01_21_A_3,44547-01-21,Green,A,Baseline,Standard,Top depth
44547_01_21_A_4,44547-01-21,Green,A,Baseline,Standard,Top depth
44547_01_21_A_5,44547-01-21,Green,A,Baseline,Standard,Bottom depth
44547_01_21_A_6,44547-01-21,Green,A,Baseline,Standard,Bottom depth
44547_01_21_B_1,44547-01-21,Pink,A,Baseline,Standard,Top depth
44547_01_21_B_2,44547-01-21,Pink,A,Baseline,Standard,Top depth
44547_01_21_B_3,44547-01-21,Pink,A,Baseline,Standard,Top depth
44547_01_21_B_4,44547-01-21,Pink,A,Baseline,Standard,Top depth
44547_01_21_B_5,44547-01-21,Pink,A,Baseline,Standard,Bottom depth
44547_01_21_B_6,44547-01-21,Pink,A,Baseline,Standard,Bottom depth
44547_01_21_C_1,44547-01-21,Red,A,Baseline,Standard,Top depth
44547_01_21_C_2,44547-01-21,Red,A,Baseline,Standard,Top depth
44547_01_21_C_3,44547-01-21,Red,A,Baseline,Standard,Top depth
44547_01_21_C_4,44547-01-21,Red,A,Baseline,Standard,Top depth
44547_01_21_C_5,44547-01-21,Red,A,Baseline,Standard,Bottom depth
44547_01_21_C_6,44547-01-21,Red,A,Baseline,Standard,Bottom depth
